,label,data
0,15,new deployment sap live access a educational cloud a sec a possible
1,16,new deployment sap live access a educational cloud a sec a possible
2,5,multiple system patching weekend
3,9,bagios of ld4638.wdf.sap.corp/host down problem host alert
4,5,productive storage NFS unavailable
5,12,est outage america
6,13,many systems 1002909
7,2,artifactory
8,8,artifactory
9,9,perforce domain a node ld4638 rebooted
10,14,emma VPN access
11,15,sap education cloud sap educational partner loadbalancer corrupted
12,16,sap education cloud sap educational partner loadbalancer corrupted
13,17,sap education cloud sap educational partner loadbalancer corrupted
14,12,of systems americas a lot systems PSR
15,8,Jenkins service a DNS issue
16,10,private sr 1003692 pontoon 2018 demo tm a em citril login work anymore
17,8,Jenkins service a load balancer replacement coordinated
18,17,TDC training landscape a target/productive a
19,17,TDC training landscape a target/productive a
20,2,artifactory a internal a a push a pull not working
21,12,america 1003280-cla hosts a demo affected
22,14,was cla-18q4-emea inaccessible
23,16,multiple landscapes affected os bug
24,17,multiple landscapes affected os bug
25,11,netapp storage able perform snapshot
26,12,est host usphlesx114 due temperature warning
27,1,ags support infra premium systems a Ve a a run development system FDX
28,16,TDC live access a target/productive a
29,8,Jenkins service
30,8,Jenkins service a network outage
31,8,Jenkins service
32,8,Jenkins service a etc database space exceeded
33,12,a est host crashed sac na affecting showroom 1003280-cla_showroom-2018v1-b00
34,13,hardware error est host sinesx078.sin.sap.corp
35,11,TDC demo showrooms cta/cda CSA multiple Sid is affected a ATF documenting a
36,14,TDC demo showrooms cta/cda CSA multiple Sid is affected a ATF documenting a
37,8,deployment node jaws
38,5,pi Hana platform dm iq landscape
39,5,base a fs cepqa_archive2 down
40,5,base a fs cepqa_archive2 down
41,8,jaws load balancer connection lost
42,14,six systems went vc60 emma prod due cis security patching a
43,5,esq a NFS shares non-accessible node usiadnp00017m
44,14,vmvc60 host 2692 lost connection vc server causing approximately of sac VMS restart
45,4,git a hanagit instance Gerrit landscape considered
46,2,multiple landscapes/sid is affected
47,3,multiple landscapes/sid is affected
48,11,TDC demo showroom a CDA a
49,11,TDC demo showroom a CDA a
50,8,Jenkins service a test slack channel invite
51,2,multiple landscapes/sid is affected
52,1,multiple landscapes/sid is affected
53,1,ags support infra premium systems a Ve a
54,2,artifactory a internal a
55,11,multiple landscapes/sid is affected
56,12,multiple landscapes/sid is affected
57,10,multiple landscapes/sid is affected
58,1,multiple landscapes/sid is affected
59,2,multiple landscapes/sid is affected
60,5,gods a
61,11,TDC demo showroom a CDA a
62,6,Hana build a updated description
63,4,git
64,6,Hana build
65,2,artifactory a internal a
66,1,ags support infra premium systems a Ve a
67,4,git
68,11,TDC demo showroom a CDA a
69,2,artifactory a internal a
70,1,ags support infra premium systems a Ve a
71,2,artifactory a internal a
72,4,git
73,6,Hana build
74,6,Hana build
75,4,git
76,2,artifactory a internal a
77,6,Hana build
78,6,Hana build
79,2,artifactory a internal a
80,1,ags support infra premium systems a Ve a
81,1,ags support infra premium systems a Ve a
82,1,ags support infra premium systems a Ve a
83,5,gods a
84,5,gods a
85,5,gods a
86,2,artifactory a internal a
87,2,artifactory a internal a
88,2,artifactory a internal a
89,3,dita
90,1,ags support infra premium systems a Ve a
91,2,artifactory a internal a
92,10,TDC a
93,1,ags support infra premium systems a Ve a
94,1,ags support infra premium systems a Ve a
95,1,ags support infra premium systems a Ve a
96,2,artifactory a internal a
